"","act","mod","e1","e2","e3","expert.1","expert.2","expert.3","docket","casename","certdate","argudate","ctbelow","constat","subjmatt","numexper","courtact","issue","value","dir","vote","constit","statut","comlaw","criminal","courtmod","har_value","har_dir","ali_issue","ali_value","just","exp.tot"
"526",0,0,1,1,NA,333,375,NA,"""01-1118""","""Scheidler v. NOW & 1-1119 Operation Rescue v NOW""","2002-04-22","2002-12-04","""USCA-7""",NA,NA,2,0,533,5,0,81,0,1,0,0,0,5,0,171,1,7,0
"556",0,0,0,1,1,110,332,518,"""01-1120""","""Meyer v. Holley""","2002-05-20","2002-12-03","""USCA-9""",NA,NA,3,0,220,2,0,90,0,1,0,0,0,2,0,618,8,7,0.666666666666667
"586",1,0,1,1,0,510,930,875,"""01-1127""","""Lockyer, Atty.Gen. of Ca. v. Andrade""","2002-04-01","2002-11-05","""USCA-9""",NA,NA,3,0,13,1,0,54,1,1,0,1,0,1,0,41,1,7,0.666666666666667
"616",0,0,0,0,0,540,463,539,"""01-1184""","""U.S. v. Recio""","2002-05-28","2002-11-12","""USCA-9""",NA,NA,3,0,112,1,0,81,0,0,1,1,0,1,0,163,1,7,0
"646",1,0,1,1,NA,427,521,NA,"""01-1209""","""Boeing Co. v. US & 1-1382 US v. Boeing Sales""","2002-05-28","2002-12-09","""USCA-9""",NA,NA,2,1,960,12,1,72,0,1,0,0,0,12,1,960,12,7,0
"676",0,0,0,1,0,729,482,635,"""01-1229""","""Pierce County v. Guillen""","2002-04-29","2002-11-04","""SC-WA""",NA,NA,3,0,673,8,0,90,1,1,0,0,0,8,0,939,10,7,0.333333333333333
"706",0,0,0,1,0,882,616,20,"""01-1231""","""CT Dept. of Public Safety v. Doe""","2002-05-20","2002-11-13","""USCA-2""",NA,NA,3,0,80,1,0,90,1,0,0,0,0,1,0,504,4,7,0.333333333333333
"736",0,0,NA,0,NA,729,99,NA,"""01-1269""","""Cuyahoga Falls v. Buckeye Community Hope""","2002-06-24","2003-01-21","""USCA-6""",NA,NA,2,0,220,2,0,90,1,0,0,0,0,2,0,399,2,7,0
"766",0,1,0,0,0,225,71,539,"""01-1289""","""State Farm Mutual Auto. v. Campbell""","2002-06-03","2002-12-11","""SC-UT""",NA,NA,3,0,NA,8,0,NA,1,0,0,0,0,8,0,501,4,7,0
"796",1,0,1,1,1,482,533,976,"""01-1325""","""Washington Legal Foundation v. Legal Foundation of WA""","2002-06-10","2002-12-09","""CA-9""",NA,NA,3,1,507,4,1,54,1,0,0,0,0,4,1,507,4,7,1
"826",1,0,1,1,1,895,232,10,"""01-1368""","""Nevada Dept. of Human Resources v. Hibbs""","2002-06-24","2003-01-15","""CA-9""",NA,NA,3,1,NA,10,1,NA,1,0,0,0,0,10,1,501,4,7,1
"856",0,1,1,1,0,103,818,81,"""01-1375""","""U.S. v. Navajo Nation""","2002-06-03","2002-12-02","""CA-Fed""",NA,NA,3,0,293,2,0,63,0,1,0,0,0,2,0,293,2,7,0.666666666666667
"886",0,0,0,0,1,54,995,62,"""01-1418""","""Archer v. Warner""","2002-06-24","2003-01-13","""CA-4""",NA,NA,3,0,611,8,0,72,0,1,0,0,0,8,0,611,8,7,0.333333333333333
"916",0,0,1,0,1,927,102,79,"""01-1420""","""WA Dept. of Soc & Health Svcs v Guardianship of Keffeler""","2002-05-28","2002-12-03","""SC-WA""",NA,NA,3,0,301,2,0,90,0,1,0,0,0,2,0,312,2,7,0.666666666666667
"946",1,0,0,0,NA,232,10,NA,"""01-1435""","""Clackamas Gastro. v. Wells""","2002-10-01","2003-02-25","""CA-9""",NA,NA,2,0,NA,2,0,NA,0,1,0,0,0,2,0,331,2,7,0
"976",1,1,0,0,NA,483,779,NA,"""01-1437""","""Branch v. Smith & 1-1596 Smith v Branch""","2002-06-10","2002-12-10","""USDC-S. MS""",NA,NA,2,1,211,2,1,72,0,1,0,0,0,2,1,910,10,7,0
"1006",0,0,0,1,0,540,524,856,"""01-1444""","""Chavez v. Martinez""","2002-06-03","2002-12-04","""CA-9""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,1,0,23,1,7,0.333333333333333
"1036",1,0,1,1,1,174,309,61,"""01-1491""","""Demore v. Kim""","2002-06-28","2003-01-15","""USCA-9""",NA,NA,3,0,NA,4,0,NA,1,0,0,0,0,2,0,501,4,7,1
"1066",0,0,0,0,NA,421,20,NA,"""01-1500""","""Clay v. United States""","2002-06-28","2003-01-13","""USCA-7""",NA,NA,2,0,13,1,1,90,0,1,0,1,0,1,1,857,9,7,0
"1096",0,0,1,0,0,337,972,127,"""01-1559""","""Massaro v. U.S.""","2002-10-01","2003-02-25","""CA-2""",NA,NA,3,0,NA,1,1,NA,0,0,1,1,0,1,1,704,9,7,0.333333333333333
"1126",1,0,1,NA,NA,99,NA,NA,"""01-1572""","""Cook County v. US, ex rel Chandler""","2002-06-28","2003-01-14","""USCA-7""",NA,NA,1,1,616,8,1,90,0,1,0,0,0,8,1,650,8,7,0
"1156",0,0,0,0,0,636,856,616,"""01-1757""","""Stogner v. California""","2002-12-02","2003-03-31","""CA-CA, 1st App Dist""",NA,NA,3,0,NA,1,1,NA,1,0,0,1,0,1,1,80,1,7,0
"1186",0,0,0,0,1,241,71,94,"""01-1806""","""Ryan, Atty. General of IL v. Telemarketing Associates""","2002-11-04","2003-03-03","""SC-IL""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,3,0,411,3,7,0.333333333333333
"1216",1,0,0,0,1,337,972,875,"""01-1862""","""Woodford v. Garceau""","2002-10-01","2003-01-21","""CA-9""",NA,NA,3,0,13,1,0,63,0,1,0,1,0,1,0,13,1,7,0.333333333333333
"1246",0,0,1,0,0,510,930,875,"""01-6978""","""Ewing v. California""","2002-04-01","2002-11-05","""CA-CA, 2nd Dist.""",NA,NA,3,1,41,1,0,54,1,0,0,1,0,1,0,41,1,7,0.333333333333333
"1276",0,1,1,1,0,421,972,20,"""01-7574""","""Sattazahn v, Pennsylvania""","2002-03-18","2002-11-04","""SC-PA, E. Dist.""",NA,NA,3,1,70,1,0,54,1,0,0,1,1,1,0,70,1,7,0.666666666666667
"1306",0,0,0,0,1,421,70,375,"""01-7662""","""Miller-el v. Cockrell""","2002-02-15","2002-10-16","""USCA-5""",NA,NA,3,0,13,1,1,81,1,1,0,1,0,1,1,13,1,7,0.333333333333333
"1336",1,0,0,0,NA,882,895,NA,"""02-0042""","""CA Franchise Tax Board v. Hyatt, Gilbert, et al""","2002-10-15","2003-02-24","""SC-NV""",NA,NA,2,1,NA,10,NA,NA,1,0,0,0,0,11,NA,626,8,7,0
"1366",0,1,0,0,1,973,540,213,"""02-0069""","""Roell v. Withrow""","2002-11-04","2003-02-26","""USCA-5""",NA,NA,3,0,NA,9,0,NA,0,1,0,0,0,9,1,852,9,7,0.333333333333333
"1396",0,0,1,1,1,988,524,465,"""02-0094""","""Overton v. Bazzetta""","2002-12-02","2003-03-26","""USCA-6""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,3,1,504,4,7,1
"1426",0,0,0,0,0,241,23,255,"""02-0102""","""Lawrence v. Texas""","2002-12-02","2003-03-26","""CA-TX, 14th Dist""",NA,NA,3,0,NA,5,1,NA,1,0,0,1,0,5,1,501,4,7,0
"1456",1,1,1,1,NA,483,779,NA,"""02-0182""","""Georgia v. Ashcroft""","2003-01-17","2003-04-29","""USCA-DC""",NA,NA,2,0,NA,2,1,NA,0,1,0,0,0,2,0,250,2,7,0
"1486",0,0,0,1,1,223,110,611,"""02-0215""","""Pacificare v. Book, Jeffrey, et al""","2002-10-15","2003-02-24","""USCA-11""",NA,NA,3,0,NA,8,0,NA,0,0,1,0,0,8,0,653,8,7,0.666666666666667
"1516",1,1,1,1,1,602,949,512,"""02-0241""","""Grutter v. Bollinger""","2002-12-02","2003-04-01","""USCA-6""",NA,NA,3,1,NA,2,1,NA,1,0,0,0,0,2,1,223,2,7,1
"1546",0,0,0,0,NA,482,636,NA,"""02-0258""","""Jinks v. Richland County""","2002-10-21","2003-03-05","""SC-SC""",NA,NA,2,0,NA,10,1,NA,1,0,0,0,1,9,1,939,10,7,0
"1576",0,0,0,0,1,103,818,81,"""02-0281""","""Inyo County v. Paiute-Shoshone Indians""","2002-12-02","2003-03-31","""USCA-9""",NA,NA,3,0,NA,2,0,NA,0,1,0,0,0,2,0,16,1,7,0.333333333333333
"1606",0,0,0,NA,NA,816,NA,NA,"""02-0299""","""Entergy Louisiana, Inv. v. Louisiana Public Service Comm.""","2003-01-17","2003-04-28","""SC-LA""",NA,NA,1,0,NA,8,0,NA,0,1,0,0,0,10,1,631,8,7,0
"1636",0,1,1,NA,NA,893,NA,NA,"""02-0306""","""Beneficial Nat'l Bank v. Anderson""","2003-01-24","2003-04-30","""SC-VA""",NA,NA,1,0,NA,8,1,NA,0,1,0,0,0,9,1,851,9,7,0
"1666",0,0,0,0,NA,774,763,NA,"""02-0311""","""Wiggins v. Smith""","2002-11-18","2003-03-24","""CA-4""",NA,NA,2,0,NA,1,1,NA,1,0,0,1,0,1,1,382,2,7,0
"1696",1,0,1,1,1,585,496,102,"""02-0337""","""Breuer v. Jim's Concrete""","2003-01-10","2003-04-02","""USCA-11""",NA,NA,3,1,NA,9,0,NA,0,1,0,0,0,9,1,559,7,7,1
"1726",0,0,1,1,NA,333,526,NA,"""02-0361""","""US v. American Library Assn""","2002-11-12","2003-03-05","""USDC-E. PA""",NA,NA,2,0,NA,NA,0,NA,1,0,0,0,0,3,0,401,3,7,0
"1756",0,0,1,1,NA,71,585,NA,"""02-0371""","""Virginia v. Hicks""","2003-01-24","2003-04-30","""SC-VA""",NA,NA,2,0,NA,2,0,NA,1,0,0,1,0,3,0,401,3,7,0
"1786",0,0,0,0,NA,333,773,NA,"""02-0403""","""FEC v. Beaumont""","2002-11-18","2003-03-25","""CA-4""",NA,NA,2,0,NA,2,0,NA,1,0,0,0,0,3,0,444,3,7,0
"1816",NA,0,0,0,NA,853,463,NA,"""02-0428""","""Dastar Corp. v. Twentieth Century Fox Film Corp.""","2003-01-10","2003-04-02","""USCA-9""",NA,NA,2,0,NA,8,1,NA,0,1,0,0,0,8,1,662,8,7,0
"1846",0,0,0,NA,NA,530,NA,NA,"""02-0469""","""Black & Decker Disability Plan v. Nord""","2003-01-10","2003-04-28","""USCA-9""",NA,NA,1,0,NA,NA,0,NA,0,1,0,0,0,8,0,621,8,7,0
"1876",0,1,1,1,1,602,949,512,"""02-0516""","""Gratz v. Bollinger""","2006-12-02","2003-04-01","""USCA-6""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,2,0,223,2,7,1
"1906",0,0,1,1,NA,774,70,NA,"""02-0524""","""Price v. Vincent""","2003-01-10","2003-04-21","""USCA-6""",NA,NA,2,0,NA,1,0,NA,1,1,0,1,0,1,0,704,9,7,0
"1936",1,0,1,NA,NA,10,NA,NA,"""02-0679""","""Desert Palace, Inc. v. Costa""","2003-01-10","2003-04-21","""USCA-9""",NA,NA,1,1,NA,2,1,NA,0,1,0,0,0,2,1,284,2,7,0
"1966",0,1,0,0,NA,988,512,NA,"""02-0695""","""Fitzgerald v. Racing Assn of Central Iowa""","2003-01-17","2003-04-29","""SC-IA""",NA,NA,2,0,NA,2,1,NA,1,0,0,0,0,8,1,507,4,7,0
"1996",0,0,1,1,NA,309,585,NA,"""02-0722""","""American Insurance Assn v. Low""","2003-01-10","2003-04-23","""USCA-9""",NA,NA,2,0,NA,10,1,NA,1,0,0,0,0,10,1,631,8,7,0
"2026",0,0,0,1,NA,524,856,NA,"""02-5664""","""Sell v. US""","2002-11-04","2003-03-03","""USCA-8""",NA,NA,2,0,NA,1,0,NA,1,0,0,1,1,4,1,504,4,7,0
"110",1,0,1,0,1,277,976,530,"""00-1471""","""KY Assn. of Health Plans v. Miller""","2002-06-28","2003-01-14","""USCA-6""",NA,NA,3,1,911,10,0,90,0,1,0,0,1,10,0,621,8,8,0.666666666666667
"410",0,0,0,1,0,635,255,102,"""01-0188""","""Pharmaceutical Research v. Concannon""","2002-06-28","2003-01-22","""USCA-1""",NA,NA,3,1,NA,10,1,NA,1,1,0,0,1,8,1,631,8,8,0.333333333333333
"710",0,0,0,1,0,104,635,465,"""01-0270""","""Yellow Transportation v. Michigan""","2002-01-22","2002-10-07","""SC-MI""",NA,NA,3,0,631,8,0,90,0,1,0,0,0,8,0,673,8,8,0.333333333333333
"1010",1,0,1,1,0,289,399,963,"""01-0593""","""Dole Food Co. v. Patrickson & 01-594 Dead Sea Co. v. Patrick""","2002-06-28","2003-01-22","""USCA-9""",NA,NA,3,1,NA,9,NA,NA,0,1,0,0,0,9,0,808,9,8,0.666666666666667
"1310",1,1,0,0,NA,23,94,NA,"""01-0618""","""Eldred v. Ashcroft, Atty. General""","2002-02-19","2002-10-09","""USCA-DC""",NA,NA,2,1,662,8,0,72,1,0,0,0,1,8,0,662,8,8,0
"1610",1,0,0,0,0,510,564,995,"""01-0653""","""FCC v. Nextwave Comm., Inc. and 1-657 Arctic Slope v. Nextwv""","2002-03-04","2002-10-08","""USCA-DC""",NA,NA,3,1,611,8,1,81,0,1,0,0,1,8,1,686,8,8,0
"1910",0,0,0,0,NA,127,213,NA,"""01-0704""","""U.S. v. Bean""","2002-01-22","2002-10-16","""USCA-5""",NA,NA,2,0,721,9,0,90,0,1,0,0,0,9,0,851,9,8,0
"227",1,0,1,0,0,882,533,919,"""01-0705""","""Barnhart v. Comm'r. v. Peabody & 1-715 Holland v Bellaire""","2002-01-22","2002-10-08","""USCA-6""",NA,NA,3,0,312,2,1,63,0,1,0,0,0,2,1,312,2,8,0.333333333333333
"257",0,0,0,0,0,104,225,539,"""01-0706""","""Sprietsma v. Mercury Marine""","2002-01-22","2002-10-15","""SC-IL""",NA,NA,3,0,910,10,0,90,0,1,0,0,1,10,0,911,10,8,0
"287",0,0,0,0,1,636,255,616,"""01-0729""","""Smith v. Doe (aka Godfrey/Otte v. Doe)""","2002-02-19","2002-11-13","""USCA-9""",NA,NA,3,0,80,1,0,63,1,0,0,0,0,1,0,80,1,8,0.333333333333333
"317",1,0,1,1,1,973,895,963,"""01-0757""","""Syngenta Crop. Protection Inc. v. Henson""","2002-02-19","2002-10-15","""USCA-11""",NA,NA,3,1,852,9,0,90,0,1,0,0,0,9,0,851,9,8,1
"347",NA,0,NA,0,0,223,110,611,"""01-0800""","""Howsam v. Dean Witter Reynolds, Inc.""","2002-02-25","2002-10-09","""USCA-10""",NA,NA,3,0,653,8,0,80,0,0,1,0,0,8,0,851,9,8,0
"377",0,0,0,1,NA,533,635,NA,"""01-0950""","""Hillside Dairy v. Lyons & 01-1018, Ponderosa Dairy v. Lyons""","2003-01-10","2003-04-22","""USCA-9""",NA,NA,2,0,NA,10,0,NA,1,1,0,0,0,8,1,930,10,8,0
"407",0,0,0,0,NA,225,518,NA,"""01-0963""","""Norfolk & Western Rwy. Co. v. Ayers""","2002-04-01","2002-11-06","""WVCC, Kanawha Cty.""",NA,NA,2,1,615,8,1,54,0,1,1,0,0,8,1,618,8,8,0
"437",0,0,1,1,1,289,853,150,"""01-1015""","""Moseley v. V Secret Catalogue, Inc.""","2002-04-15","2002-11-12","""USCA-6""",NA,NA,3,0,663,8,1,90,0,1,0,0,0,8,1,663,8,8,1
"467",1,0,0,0,0,103,818,81,"""01-1067""","""U.S. v. White Mountain Apache Tribe""","2002-04-22","2002-12-02","""USCA-Fed""",NA,NA,3,1,293,2,1,54,0,1,0,0,0,2,1,293,2,8,0
"497",0,1,1,1,NA,976,375,NA,"""01-10873""","""Nguyen v. US & 02-5034 Phan v. US""","2002-11-04","2003-03-24","""USCA-9""",NA,NA,2,0,NA,9,0,NA,0,1,0,1,0,9,1,717,9,8,0
"527",0,0,1,1,NA,333,375,NA,"""01-1118""","""Scheidler v. NOW & 1-1119 Operation Rescue v NOW""","2002-04-22","2002-12-04","""USCA-7""",NA,NA,2,0,533,5,0,81,0,1,0,0,0,5,0,171,1,8,0
"557",0,0,0,0,1,110,332,518,"""01-1120""","""Meyer v. Holley""","2002-05-20","2002-12-03","""USCA-9""",NA,NA,3,0,220,2,0,90,0,1,0,0,0,2,0,618,8,8,0.333333333333333
"587",0,0,0,0,0,510,930,875,"""01-1127""","""Lockyer, Atty.Gen. of Ca. v. Andrade""","2002-04-01","2002-11-05","""USCA-9""",NA,NA,3,0,13,1,0,54,1,1,0,1,0,1,0,41,1,8,0
"617",0,0,0,0,0,540,463,539,"""01-1184""","""U.S. v. Recio""","2002-05-28","2002-11-12","""USCA-9""",NA,NA,3,0,112,1,0,81,0,0,1,1,0,1,0,163,1,8,0
"647",1,0,1,1,NA,427,521,NA,"""01-1209""","""Boeing Co. v. US & 1-1382 US v. Boeing Sales""","2002-05-28","2002-12-09","""USCA-9""",NA,NA,2,1,960,12,1,72,0,1,0,0,0,12,1,960,12,8,0
"677",0,0,0,1,0,729,482,635,"""01-1229""","""Pierce County v. Guillen""","2002-04-29","2002-11-04","""SC-WA""",NA,NA,3,0,673,8,0,90,1,1,0,0,0,8,0,939,10,8,0.333333333333333
"707",0,0,0,0,0,882,616,20,"""01-1231""","""CT Dept. of Public Safety v. Doe""","2002-05-20","2002-11-13","""USCA-2""",NA,NA,3,0,80,1,0,90,1,0,0,0,0,1,0,504,4,8,0
"737",0,0,NA,0,NA,729,99,NA,"""01-1269""","""Cuyahoga Falls v. Buckeye Community Hope""","2002-06-24","2003-01-21","""USCA-6""",NA,NA,2,0,220,2,0,90,1,0,0,0,0,2,0,399,2,8,0
"767",0,0,0,0,0,225,71,539,"""01-1289""","""State Farm Mutual Auto. v. Campbell""","2002-06-03","2002-12-11","""SC-UT""",NA,NA,3,0,NA,8,0,NA,1,0,0,0,0,8,0,501,4,8,0
"797",1,0,1,0,1,482,533,976,"""01-1325""","""Washington Legal Foundation v. Legal Foundation of WA""","2002-06-10","2002-12-09","""CA-9""",NA,NA,3,1,507,4,1,54,1,0,0,0,0,4,1,507,4,8,0.666666666666667
"827",1,0,0,0,0,895,232,10,"""01-1368""","""Nevada Dept. of Human Resources v. Hibbs""","2002-06-24","2003-01-15","""CA-9""",NA,NA,3,1,NA,10,1,NA,1,0,0,0,0,10,1,501,4,8,0
"857",1,0,0,1,0,103,818,81,"""01-1375""","""U.S. v. Navajo Nation""","2002-06-03","2002-12-02","""CA-Fed""",NA,NA,3,0,293,2,0,63,0,1,0,0,0,2,0,293,2,8,0.333333333333333
"887",0,0,0,0,0,54,995,62,"""01-1418""","""Archer v. Warner""","2002-06-24","2003-01-13","""CA-4""",NA,NA,3,0,611,8,0,72,0,1,0,0,0,8,0,611,8,8,0
"917",0,0,1,0,1,927,102,79,"""01-1420""","""WA Dept. of Soc & Health Svcs v Guardianship of Keffeler""","2002-05-28","2002-12-03","""SC-WA""",NA,NA,3,0,301,2,0,90,0,1,0,0,0,2,0,312,2,8,0.666666666666667
"947",0,0,0,0,NA,232,10,NA,"""01-1435""","""Clackamas Gastro. v. Wells""","2002-10-01","2003-02-25","""CA-9""",NA,NA,2,0,NA,2,0,NA,0,1,0,0,0,2,0,331,2,8,0
"977",0,0,0,0,NA,483,779,NA,"""01-1437""","""Branch v. Smith & 1-1596 Smith v Branch""","2002-06-10","2002-12-10","""USDC-S. MS""",NA,NA,2,1,211,2,1,72,0,1,0,0,0,2,1,910,10,8,0
"1007",0,0,0,0,0,540,524,856,"""01-1444""","""Chavez v. Martinez""","2002-06-03","2002-12-04","""CA-9""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,1,0,23,1,8,0
"1037",0,0,1,1,0,174,309,61,"""01-1491""","""Demore v. Kim""","2002-06-28","2003-01-15","""USCA-9""",NA,NA,3,0,NA,4,0,NA,1,0,0,0,0,2,0,501,4,8,0.666666666666667
"1067",0,1,0,0,NA,421,20,NA,"""01-1500""","""Clay v. United States""","2002-06-28","2003-01-13","""USCA-7""",NA,NA,2,0,13,1,1,90,0,1,0,1,0,1,1,857,9,8,0
"1097",0,1,1,0,0,337,972,127,"""01-1559""","""Massaro v. U.S.""","2002-10-01","2003-02-25","""CA-2""",NA,NA,3,0,NA,1,1,NA,0,0,1,1,0,1,1,704,9,8,0.333333333333333
"1127",1,0,0,NA,NA,99,NA,NA,"""01-1572""","""Cook County v. US, ex rel Chandler""","2002-06-28","2003-01-14","""USCA-7""",NA,NA,1,1,616,8,1,90,0,1,0,0,0,8,1,650,8,8,0
"1157",0,0,1,0,1,636,856,616,"""01-1757""","""Stogner v. California""","2002-12-02","2003-03-31","""CA-CA, 1st App Dist""",NA,NA,3,0,NA,1,1,NA,1,0,0,1,0,1,1,80,1,8,0.666666666666667
"1187",0,0,0,0,0,241,71,94,"""01-1806""","""Ryan, Atty. General of IL v. Telemarketing Associates""","2002-11-04","2003-03-03","""SC-IL""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,3,0,411,3,8,0
"1217",0,0,0,0,0,337,972,875,"""01-1862""","""Woodford v. Garceau""","2002-10-01","2003-01-21","""CA-9""",NA,NA,3,0,13,1,0,63,0,1,0,1,0,1,0,13,1,8,0
"1247",1,0,1,1,1,510,930,875,"""01-6978""","""Ewing v. California""","2002-04-01","2002-11-05","""CA-CA, 2nd Dist.""",NA,NA,3,1,41,1,0,54,1,0,0,1,0,1,0,41,1,8,1
"1277",1,1,1,1,0,421,972,20,"""01-7574""","""Sattazahn v, Pennsylvania""","2002-03-18","2002-11-04","""SC-PA, E. Dist.""",NA,NA,3,1,70,1,0,54,1,0,0,1,1,1,0,70,1,8,0.666666666666667
"1307",0,0,1,1,1,421,70,375,"""01-7662""","""Miller-el v. Cockrell""","2002-02-15","2002-10-16","""USCA-5""",NA,NA,3,0,13,1,1,81,1,1,0,1,0,1,1,13,1,8,1
"1337",1,0,0,0,NA,882,895,NA,"""02-0042""","""CA Franchise Tax Board v. Hyatt, Gilbert, et al""","2002-10-15","2003-02-24","""SC-NV""",NA,NA,2,1,NA,10,NA,NA,1,0,0,0,0,11,NA,626,8,8,0
"1367",0,0,0,0,1,973,540,213,"""02-0069""","""Roell v. Withrow""","2002-11-04","2003-02-26","""USCA-5""",NA,NA,3,0,NA,9,0,NA,0,1,0,0,0,9,1,852,9,8,0.333333333333333
"1397",0,0,1,0,0,988,524,465,"""02-0094""","""Overton v. Bazzetta""","2002-12-02","2003-03-26","""USCA-6""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,3,1,504,4,8,0.333333333333333
"1427",0,0,0,0,1,241,23,255,"""02-0102""","""Lawrence v. Texas""","2002-12-02","2003-03-26","""CA-TX, 14th Dist""",NA,NA,3,0,NA,5,1,NA,1,0,0,1,0,5,1,501,4,8,0.333333333333333
"1457",0,0,1,0,NA,483,779,NA,"""02-0182""","""Georgia v. Ashcroft""","2003-01-17","2003-04-29","""USCA-DC""",NA,NA,2,0,NA,2,1,NA,0,1,0,0,0,2,0,250,2,8,0
"1487",0,0,0,1,0,223,110,611,"""02-0215""","""Pacificare v. Book, Jeffrey, et al""","2002-10-15","2003-02-24","""USCA-11""",NA,NA,3,0,NA,8,0,NA,0,0,1,0,0,8,0,653,8,8,0.333333333333333
"1517",1,0,1,0,0,602,949,512,"""02-0241""","""Grutter v. Bollinger""","2002-12-02","2003-04-01","""USCA-6""",NA,NA,3,1,NA,2,1,NA,1,0,0,0,0,2,1,223,2,8,0.333333333333333
"1547",0,1,1,0,NA,482,636,NA,"""02-0258""","""Jinks v. Richland County""","2002-10-21","2003-03-05","""SC-SC""",NA,NA,2,0,NA,10,1,NA,1,0,0,0,1,9,1,939,10,8,0
"1577",0,0,0,1,1,103,818,81,"""02-0281""","""Inyo County v. Paiute-Shoshone Indians""","2002-12-02","2003-03-31","""USCA-9""",NA,NA,3,0,NA,2,0,NA,0,1,0,0,0,2,0,16,1,8,0.666666666666667
"1607",0,0,0,NA,NA,816,NA,NA,"""02-0299""","""Entergy Louisiana, Inv. v. Louisiana Public Service Comm.""","2003-01-17","2003-04-28","""SC-LA""",NA,NA,1,0,NA,8,0,NA,0,1,0,0,0,10,1,631,8,8,0
"1637",0,0,1,NA,NA,893,NA,NA,"""02-0306""","""Beneficial Nat'l Bank v. Anderson""","2003-01-24","2003-04-30","""SC-VA""",NA,NA,1,0,NA,8,1,NA,0,1,0,0,0,9,1,851,9,8,0
"1667",0,0,0,1,NA,774,763,NA,"""02-0311""","""Wiggins v. Smith""","2002-11-18","2003-03-24","""CA-4""",NA,NA,2,0,NA,1,1,NA,1,0,0,1,0,1,1,382,2,8,0
"1697",1,0,1,1,1,585,496,102,"""02-0337""","""Breuer v. Jim's Concrete""","2003-01-10","2003-04-02","""USCA-11""",NA,NA,3,1,NA,9,0,NA,0,1,0,0,0,9,1,559,7,8,1
"1727",0,0,0,0,NA,333,526,NA,"""02-0361""","""US v. American Library Assn""","2002-11-12","2003-03-05","""USDC-E. PA""",NA,NA,2,0,NA,NA,0,NA,1,0,0,0,0,3,0,401,3,8,0
"1757",0,0,1,0,NA,71,585,NA,"""02-0371""","""Virginia v. Hicks""","2003-01-24","2003-04-30","""SC-VA""",NA,NA,2,0,NA,2,0,NA,1,0,0,1,0,3,0,401,3,8,0
"1787",0,0,1,1,NA,333,773,NA,"""02-0403""","""FEC v. Beaumont""","2002-11-18","2003-03-25","""CA-4""",NA,NA,2,0,NA,2,0,NA,1,0,0,0,0,3,0,444,3,8,0
"1817",0,0,1,0,NA,853,463,NA,"""02-0428""","""Dastar Corp. v. Twentieth Century Fox Film Corp.""","2003-01-10","2003-04-02","""USCA-9""",NA,NA,2,0,NA,8,1,NA,0,1,0,0,0,8,1,662,8,8,0
"1847",0,0,1,NA,NA,530,NA,NA,"""02-0469""","""Black & Decker Disability Plan v. Nord""","2003-01-10","2003-04-28","""USCA-9""",NA,NA,1,0,NA,NA,0,NA,0,1,0,0,0,8,0,621,8,8,0
"1877",0,0,0,0,0,602,949,512,"""02-0516""","""Gratz v. Bollinger""","2006-12-02","2003-04-01","""USCA-6""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,2,0,223,2,8,0
"1907",0,0,0,0,NA,774,70,NA,"""02-0524""","""Price v. Vincent""","2003-01-10","2003-04-21","""USCA-6""",NA,NA,2,0,NA,1,0,NA,1,1,0,1,0,1,0,704,9,8,0
"1937",1,0,0,NA,NA,10,NA,NA,"""02-0679""","""Desert Palace, Inc. v. Costa""","2003-01-10","2003-04-21","""USCA-9""",NA,NA,1,1,NA,2,1,NA,0,1,0,0,0,2,1,284,2,8,0
"1967",0,0,0,0,NA,988,512,NA,"""02-0695""","""Fitzgerald v. Racing Assn of Central Iowa""","2003-01-17","2003-04-29","""SC-IA""",NA,NA,2,0,NA,2,1,NA,1,0,0,0,0,8,1,507,4,8,0
"1997",0,0,1,0,NA,309,585,NA,"""02-0722""","""American Insurance Assn v. Low""","2003-01-10","2003-04-23","""USCA-9""",NA,NA,2,0,NA,10,1,NA,1,0,0,0,0,10,1,631,8,8,0
"2027",1,1,1,1,NA,524,856,NA,"""02-5664""","""Sell v. US""","2002-11-04","2003-03-03","""USCA-8""",NA,NA,2,0,NA,1,0,NA,1,0,0,1,1,4,1,504,4,8,0
"111",1,0,1,1,1,277,976,530,"""00-1471""","""KY Assn. of Health Plans v. Miller""","2002-06-28","2003-01-14","""USCA-6""",NA,NA,3,1,911,10,0,90,0,1,0,0,1,10,0,621,8,9,1
"411",1,1,0,1,1,635,255,102,"""01-0188""","""Pharmaceutical Research v. Concannon""","2002-06-28","2003-01-22","""USCA-1""",NA,NA,3,1,NA,10,1,NA,1,1,0,0,1,8,1,631,8,9,0.666666666666667
"711",0,0,0,1,0,104,635,465,"""01-0270""","""Yellow Transportation v. Michigan""","2002-01-22","2002-10-07","""SC-MI""",NA,NA,3,0,631,8,0,90,0,1,0,0,0,8,0,673,8,9,0.333333333333333
